ID Column,Related Keywords from topic
SFDR.Principal.FossilFuels,"Zero flaring of gas, water recycling, net-zero emissions, fracking, petroleum, coal, natural gas, Orimulsion, fuel consumption ratio, energy efficiency, energy generated, eduction in energy consumption, reduction in fuel, reduction in electricity, reduction in heating, reduction in cooling"
SFDR.Principal.EnergyEfficiency,"energy reused, energy remanufactured, energy recycled, environmentally friendly technologies, Energy management, reduction in energy consumption, solar energy, reduction in fuel, reduction in electricity, reduction in heating, reduction in cooling"
SFDR.Voluntary.GHGEmissions.Scope1,"Greenhouse gas emissions scope 1, Greenhouse gas emissions scope 2, co2 emission, scope 1, scope 2, Energy indirect, Scope 2 GHG emissions, Direct, Scope 1 GHG emissions, Reduction GHG emissions, stationary combustion GHG, mobile combustion GHG, GHG emissions, indirect GHG emissions, purchased energy, process, fugitive emission, purchased electricity, electricity generation, heat generation, Nitrogen oxides, NOX, Sulphur oxides, SOX, air emissions, production ODS, purchases of ODS , stocks of ODS, Trichlorofluoromethane, CFC-11, production of ozone depleting substances, purchases of ozone depleting substances, stocks of ozone depleting substances, Montreal Protocol, chlorine, bromine, Corporate Carbon Footprint (CCF), Product Carbon Footprint (PCF), transportations, vehicles."
SFDR.Voluntary.GHGEmissions.Scope2,"Business model resilience, Climate Change Adaptation, Underwriting ESG Risks, climate change mitigation, climate change Risks, climate change opportunities, climate change Outlook, climate change challenges, climate change uncertainties, impacts of climate risks , risk businesses strategy, Climate risks converted opportunities, climate change mitigation , climate change adaptation, climate change new products. climate change new services"
SFDR.Voluntary.GHGEmissions.Scope3,"reduction in GHG emissions intensity, reduction in scope 1 intensity, reduction in scope 2 intensity, GHG emissions reduced from initiatives, reductions in CO2, reductions in CH4, reductions in N2O, reductions in HFCs, reductions in PFCs, reductions in SF6,reductions in NF3"
SFDR.Voluntary.GHGEmissions.Total,"screened environmental criteria, supplier climate risk mitigation, Supplier environmental assessment, New supply chain suppliers screened"
SFDR.Voluntary.EnergyConsumption,"environmental responsibility, sourcing Reused inputs, sourcing Re-manufactured inputs, sourcing Recycled inputs, energy management, reduction in energy consumption, solar energy, reduction in fuel, reduction in electricity, reduction in heating, reduction in cooling"
SFDR.Voluntary.Waste,"Waste reused, Waste remanufactured, Waste recycled, environmentally friendly technologies, Energy management, reduction in energy consumption, solar energy, reduction in fuel, reduction in electricity, reduction in heating, reduction in cooling"
SFDR.Voluntary.ResourceConsumption,"value chain, climate supply chain, sourcing raw material, description supply chain, primary brands supply chain, changes in supply chain, environmental impact supply chain, supply chain risk mitigation, Supply Chain Management,Recycle, "
SFDR.Voluntary.Biodiversity,"Operational high biodiversity value, impacts on biodiversity, Habitats protected, Habitats restored, national conservation, Ecosystem Impacts , positive impact on Pollution, negative impact on Pollution, positive impact species, negative impact Habitat conversion, positive impact ecological processes, negative impact species, positive impact Habitat conversion, negative impact ecological processes"
"SFDR.Voluntary,AntiCorruption.AntiBribery","paid a bribe, asked for a bribe, fines paid or payable, fine settlements, anti-corruption policies procedures, incidents corruption, actions taken corruption, assessed risks corruption, convictions, training anti-corruption issues, facilitation payments, fraud, extortion, collusion, and money laundering, breach of trust, embezzlement, trading in influence, abuse of function, illicit enrichment, concealment, obstructing justice"
SFDR.Voluntary.Social.EmployeeMatters,"Employment policies, incidence rates, violating employee rights, New employee hires, employee turnover, Benefits not paid, temporary employees, Benefits not paid , part time employees, Parental leave, Workers representation, formal joint management, management relations, Minimum notice periods , Child labor, Operations suppliers child labor, Forced compulsory labor, Security practices, Security personnel, trained human rights , Incidents violations, rights indigenous peoples, Human rights assessment, human rights reviews, human rights impact assessments, Employee training human rights policies, Significant investment agreements human rights clauses, Significant i contracts, human rights clauses, human rights screening, protection of human rights, no human rights abuses, freedom of association, right collective bargaining, elimination forced, compulsory labor, abolition child labor, elimination discrimination, employment and occupation"
