ID Column,Related Keywords from topic
UNSDG.Institutional and Governance.A.1,"sustainability approach, approach to climate issues, board involvement climate change, company’s awareness climate issues, governance sustainability, governance climate risks, governance climate opportunities, stakeholders on sustainability policies, sustainability targets, climate change mitigation, climate change adaptation, climate targets, esg targets, sdg targets"
UNSDG.Institutional and Governance.A.2,"Financial materiality, environmental materiality, social materiality, management approach materiality, supply chain assessment"
UNSDG.Institutional and Governance.A.3,"Legal actions anti-competitive, Legal actions anti-trust, Legal actions monopoly practices, fines, penalties"
UNSDG.Institutional and Governance.A.4,"Remuneration policies, remuneration Process, Stakeholders' involvement remuneration, compensation ratio, Percentage increase compensation ratio, remuneration key personnel, remuneration CEO, stock remuneration, bonus remuneration, top paid employees, remuneration females, remuneration males, board remuneration, claw back remuneration"
UNSDG.ECONOMIC.A.5,"Business model resilience, Climate Change Adaptation, Underwriting ESG Risks, climate change mitigation, climate change Risks, climate change opportunities, climate change Outlook, climate change challenges, climate change uncertainties, impacts of climate risks , risk businesses strategy, Climate risks converted opportunities, climate change mitigation , climate change adaptation, climate change new products. climate change new services"
UNSDG.Economic.A.6,"value chain, climate supply chain, sourcing raw material, description supply chain, primary brands supply chain, changes in supply chain, environmental impact supply chain, supply chain risk mitigation, Supply Chain Management, forced labor supply chain, modern slavery supply chain, deforestation supply chain"
UNSDG.Environmental.A.7,"screened environmental criteria, supplier climate risk mitigation, Supplier environmental assessment, New supply chain suppliers screened"
UNSDG.Environmental.A.8,"environmental responsibility, sourcing Reused inputs, sourcing Re-manufactured inputs, sourcing Recycled inputs"
UNSDG.Environmental.A.9,"environmentally friendly technologies, Energy management, reduction in energy consumption, solar energy, reduction in fuel, reduction in electricity, reduction in heating, reduction in cooling"
UNSDG.Environmental.A.10,"reduction in GHG emissions intensity, reduction in scope 1 intensity, reduction in scope 2 intensity, GHG emissions reduced from initiatives, reductions in CO2, reductions in CH4, reductions in N2O, reductions in HFCs, reductions in PFCs, reductions in SF6,reductions in NF3"
UNSDG.Environmental.A.11,"Waste reused, Waste remanufactured, Waste recycled"
UNSDG.Environmental.A.12,"Operational high biodiversity value, impacts on biodiversity, Habitats protected, Habitats restored, national conservation, Ecosystem Impacts , positive impact on Pollution, negative impact on Pollution, positive impact species, negative impact Habitat conversion, positive impact ecological processes, negative impact species, positive impact Habitat conversion, negative impact ecological processes"
UNSDG.Social.A.13,"suppliers screened social criteria, Negative social impacts supply chain, Number suppliers assessed social impacts, suppliers actual negative social impacts, suppliers potential negative social impacts, improvements agreed result assessment, suppliers terminated due assessment"
UNSDG.Social.A.14,"local community engagement, impact assessments development programs, impacts on local communities. social impact assessments, community participatory processes, community environmental impact assessments, community social impact assessments, local community development programs, local community consultation committees, vulnerable groups, workers councils, occupational health safety committees, worker representation, local community grievance processes, senior management local community"
UNSDG.Social.A.15,"Customer health safety, Marketing and labelling, product and service information, product labelling, Incidents non-compliance information, Incidents non-compliance labelling, Incidents of non-compliance marketing, Customer policy, complaints breaches customer privacy, losses customer data, Customer welfare"
UNSDG.Social.A.16,"Employment policies, incidence rates, violating employee rights, New employee hires, employee turnover, Benefits not paid, temporary employees, Benefits not paid , part time employees, Parental leave, Workers representation, formal joint management, management relations, Minimum notice periods , Child labor, Operations suppliers child labor, Forced compulsory labor, Security practices, Security personnel, trained human rights , Incidents violations, rights indigenous peoples, Human rights assessment, human rights reviews, human rights impact assessments, Employee training human rights policies, Significant investment agreements human rights clauses, Significant i contracts, human rights clauses, human rights screening, protection of human rights, no human rights abuses, freedom of association, right collective bargaining, elimination forced, compulsory labor, abolition child labor, elimination discrimination, employment and occupation"
UNSDG.OTHER.A.17,"VERIFICATION, audit, assurance"
UNSDG.Institutional and Governance.M.1,"negative impacts economy, negative impacts environment, negative impacts people, negative human rights, positive impacts economy, positive impacts environment, positive impacts people, positive human rights, potential impacts climate risks, climate risks businesses strategy, climate risks financial planning, financially material environment risks"
UNSDG.Institutional and Governance.M.1.1,"sustainability principles, approach environmental challenges, Disclosure impacts climate risks, Disclosure potential climate risks, Disclosure climate opportunities, climate risks businesses strategy, climate risks financial planning, energy sustainability strategy, water sustainability strategy, carbon dioxide emissions sustainability strategy, waste generation sustainability strategy, recycling sustainability strategy, human resource management strategy, gender equality strategy, community development sustainability strategy"
UNSDG.Institutional and Governance.M.2,"Number board meetings, board meetings attendance rate, Board members who participate, Number female board members, percentage female board members, Board members by age, Number meetings audit committee, attendance rate audit committee, compensation executive board member, compensation non-executive directors, corporate governance, number of external independent board members, total number of board members, separation roles CEO Chairperson, sustainability issues board agenda, adherence with SDGs discussed at board, fixed pay, base salary, performance-based pay, equity-based pay, bonuses, deferred or vested shares, ­sign-on bonuses, recruitment incentive payments, ­termination payments, ­claw backs, retirement benefits"
UNSDG.Institutional and Governance.M.3,"paid a bribe, asked for a bribe, fines paid or payable, fine settlements, anti-corruption policies procedures, incidents corruption, actions taken corruption, assessed risks corruption, convictions, training anti-corruption issues, facilitation payments, fraud, extortion, collusion, and money laundering, breach of trust, embezzlement, trading in influence, abuse of function, illicit enrichment, concealment, obstructing justice"
