ID Column,Related Keywords from topic
UN.global.compact10.HumanrightsScope1.IPHR,"human rights, infringing human rights,business, strategic social investment/philanthropy, public policy engagement/advocacy, and/or partnerships, vulnerable groups, including women, children, people with disabilities, indigenous peoples, migrant workers, older personsreputational damage, consumer boycotts, exposure to legal liability and adverse government action, adverse action by investors and business partners, reduced productivity and morale of employees"
UN.global.compact10.HumanrightsScope1.HRA,"Direct complicity,Beneficial complicity,Silent complicity,Globalization, Growth of civil society, transparency and accountability, crime,state-owned enterprises,due diligence,company, government, allegation, act or omission,complicity,jurisprudence,media, civil society organizations, trade unions,advocacy, taxes,"
UN.global.compact10.LabourScope2.CB,"Occupational interests, opinion, freedom of expression, violence, pressure, fear, threats, rule formation, election, unions, economic, social,inimidation, reprisal, national law, collective agreement,, office space, management, workers, constructive, problem-solving, restructuring, training, redundancy, procedures, safety and health, grievance, dispute, disciplinary rules, family and community welfare."
UN.global.compact10.LabourScope2.FL,"menace, penality, forced, compulsory,violation, fundamental human rights, skills, human resources, children, labour markets, debiliting, economy, productivity, investments, slower economic growth, disruption, income-generating, breadwinners, food, shelter, health care, contractors, suppliers, ideological, political, slavery, debt-bondage, coercion, physical abduction or kidnapping, ownership, physical confinement,exploitative practices, deposits, physical or psychological violence,restrictions, non-payment,deprivation of food, shelter."
UN.global.compact10.LabourScope2.CL,"Child labour, minimum age, schooling, ILO convention,slavery, trafficking, debt-bondage, forced,armed conflict, procuring, prostitution, pornography,drugs,health, safety, physical, mental,psychological,spiritual, dignity, under-skilled, unqualified, work force."
UN.global.compact10.LabourScope2.Discrim,"Differently, less favourable, national law, merit, inherent, race, colour, sex, religion, political opnion, national extraction, social origin, age, disability, HIV, trade union, sexual orientation, recruitment, remuneration, paid holidays, maternity protection, security, job assignments, advancement, training, opportunities, job prospects, social security, safety and health."
UN.global.compact10.Environmentscope3.EC,"Environmental degradation, risk assessment, risk management, risk communication, harm, scientific evaluation, cost-benefit, economic, public policy, company reputation, long-term, deplete resources, sustainability approach, approach to climate issues, board involvement climate change, company’s awareness climate, issues, governance sustainability, governance climate risks, governance climate opportunities, stakeholders on sustainability policies, sustainability targets, climate change mitigation, climate change adaptation, and Reusable, Renewable, Recyclable climate targets, esg targets, SDG targets"
UN.global.compact10.Environmentscope3.ES,"Self-regulation, legitimacy, economic prosperity, environmental quality and social equity, Environmental materiality, resource productivity, social materiality, management approach materiality, supply chain assessment, fewer raw material inputs and lower costs, Energy Consumption, Energy Efficient, solar power, Wind Energy, economic prosperity, environmental quality and social equity, sustainable production, value chain, environmental performance, sustainability principles, transparency, unbiased dialogue."
UN.global.compact 10.Environmentscope3.Principle9,"Less pollution, recycling, wastes and products, cleaner production, pollution prevention, end-of-pipe, discharge wastes, inefficiencies, emissions, contaminants, work exposure, hazardous, disasters, increased efficiency, innovation, manufacturing, components, reusing, environmental performance, LCA( life cycle assessment), examining, (EnTA) Employing Environmental Technology Assessments."
UN.global.compact10.AntiCorruptionscope4.cor,"Bribery, extortion, corruption, supply chains, transparent global economy, UNCAC, influence, institutionalized bribery, transparecy, abbuse of power, private gain, OECD, multinational enterprises, solicitation, enticing, personal integrity, legal risk, reoutational risk, financial costs, erosion, internal, external, collective action, anti-corruption call."
